area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;vi141;vi142;vi143;vi144;vi1511;vi1521;vi1512;vi1522;vi1531;vi1541;vi1532;vi1542;vi1533;vi1543;vi1534;vi1544;vi1535;vi1545;vi1536;vi1546;eqt19a011;eqt19a021;eqt19a012;eqt19a022;eqt19a013;eqt19a023;eqt19a014;eqt19a024;eqt19a015;eqt19a025;eqt19a016;eqt19a026;vi20;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;010150;001002;068;01;1;3;1;4;2;4;2;1;2;1;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;80;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;3;1;3;2; ;1;2713;402,91638244211;010150001002;01015000100206801;010150001002068011;202507
1;010150;001002;068;03;1;1;2;1;1;1;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;200; ; ; ;1;1;2; ;2; ;2; ;2; ;1;100;2; ;2; ;1;1;2; ;2; ;1;2;1;2;1;3;1;2713;402,91638244211;010150001002;01015000100206803;010150001002068031;202507
1;010150;001002;068;05;1;1;2;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;1;2;2; ;2; ;2; ;2; ;1;180;2; ;2; ;1;1;2; ;2; ;1;5;1;5;1;1;1;2713;402,91638244211;010150001002;01015000100206805;010150001002068051;202507
1;010150;001002;068;06;1;1;2;2;2;2;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;180;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;2;1;2;2; ;1;2713;402,91638244211;010150001002;01015000100206806;010150001002068061;202507
1;010150;001002;068;07;1;1;3;2;2;4;2;1;2;1;0;0;2;1;1; ; ;1; ; ;2;2;1;2;1;50;2;2;1;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;1;1;1;2; ;2;2713;402,91638244211;010150001002;01015000100206807;010150001002068071;202507
1;010150;001002;068;08;1;3;1;4;1;2;1;3;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;1;1;2; ;2; ;2; ;2; ;1;80;2; ;2; ;1;1;2; ;2; ;1;2;1;2;1;2;1;2713;402,91638244211;010150001002;01015000100206808;010150001002068081;202507
1;010150;001002;068;09;1;1;1;4;1;2;1;1;1;9;8;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;1;1;1;3;1;3;2; ;1;2713;402,91638244211;010150001002;01015000100206809;010150001002068091;202507
1;010150;001002;068;09;2;1;1;4;1;2;1;1;2;1;1;0;1;1;1; ; ;1; ; ;2;2;1;2;1;130;1;1;2;1;1;2; ;2; ;2; ;2; ;1;30;2; ;2; ;2; ;2; ;2; ;1;2;1;2;2; ;1;2713;402,91638244211;010150001002;01015000100206809;010150001002068092;202507
1;010150;001102;065;01;1;1;2;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;1;1;1;1;1;2; ;2; ;2; ;2; ;1;30;2; ;2; ;1;1;2; ;2; ;1;2;1;2;1;1;1;2713;343,994627254277;010150001102;01015000110206501;010150001102065011;202507
1;010150;001102;065;02;1;1;1;2;1;2;1;1;1;5;4;1;1;1;1; ; ;1; ; ;1;1;1;2;4;350; ; ; ;1;2;2; ;2; ;2; ;1;70;1;60;2; ;2; ;1;2;1;1;2; ;1;2;1;2;2; ;1;2713;343,994627254277;010150001102;01015000110206502;010150001102065021;202507
1;010150;001102;065;03;1;3;2;6;1;1;1;1;1;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;180;1;1;2;1;1;2; ;2; ;2; ;2; ;1;25;2; ;2; ;1;1;2; ;2; ;1;3;1;3;1;1;1;2713;343,994627254277;010150001102;01015000110206503;010150001102065031;202507
1;010150;001102;065;04;1;1;5;2;1;4;2;4;3;2;2;0;1;1;1; ; ;1; ; ;2;1;1;2;1;150;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;2;1;2;1;1;1;2713;343,994627254277;010150001102;01015000110206504;010150001102065041;202507
1;010150;001102;065;05;1;1;1;4;1;1;1;1;1;5;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;350; ; ; ;1;2;2; ;2; ;2; ;2; ;1;60;2; ;2; ;1;2;1;1;1;1;1;2;1;2;1;1;1;2713;343,994627254277;010150001102;01015000110206505;010150001102065051;202507
1;010150;001102;065;06;1;1;1;2;1;2;1;1;1;5;3;1;1;1;1; ; ;1; ; ;1;1;1;2;4;400; ; ; ;1;1;2; ;1;60;2; ;2; ;2; ;2; ;2; ;1;1;2; ;1;1;1;1;1;1;1;1;1;2713;343,994627254277;010150001102;01015000110206506;010150001102065061;202507
1;010150;001102;065;07;1;3;2;1;2;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;300; ; ; ;1;1;2; ;2; ;2; ;2; ;1;20;2; ;2; ;1;1;2; ;2; ;1;3;1;3;2; ;1;2713;343,994627254277;010150001102;01015000110206507;010150001102065071;202507
1;010150;001603;071;01;1;4;1;2;2;1;2;1;2;4;3;0;1;1;2; ; ;1; ; ;1;1;1;2;4;200; ; ; ;1;2;2; ;2; ;2; ;2; ;1;120;2; ;2; ;2; ;2; ;2; ;1;4;1;4;1;2;1;2713;681,914664107817;010150001603;01015000160307101;010150001603071011;202507
1;010150;001603;071;02;1;3;2;2;2;1;1;1;2;4;3;0;1;1;2; ; ;1; ; ;1;1;1;2;4;200; ; ; ;1;1;2; ;2; ;2; ;2; ;1;25;2; ;2; ;1;1;2; ;2; ;1;3;1;3;1;1;1;2713;681,914664107817;010150001603;01015000160307102;010150001603071021;202507
